otu,otu_occ,otu_rel,fill,Group,Group2
chick_phage_973,0.064622125,4.66E-06,no,Chicken,Chicken-no
chick_phage_1342,0.460021906,9.81E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_44,0.0449069,1.19E-05,no,Chicken,Chicken-no
chick_phage_5117,0.807228916,0.000114314,Compartments,Chicken,Chicken-Compartments
chick_phage_980,0.212486309,0.00025548,Compartments,Chicken,Chicken-Compartments
chick_phage_3383,0.222343921,1.27E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5021,0.892661555,0.00098305,Compartments,Chicken,Chicken-Compartments
chick_phage_2794,0.109529025,9.17E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_2799,0.247535597,1.77E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1336,0.248630887,0.000101764,Compartments,Chicken,Chicken-Compartments
chick_phage_308,0.345016429,6.38E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_99,0.189485214,7.87E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_43,0.04271632,3.06E-06,no,Chicken,Chicken-no
chick_phage_1416,0.237677985,0.000362577,Compartments,Chicken,Chicken-Compartments
chick_phage_2658,0.26286966,2.24E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1399,0.267250821,7.39E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3165,0.180722892,3.85E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_360,0.829134721,0.000293791,Compartments,Chicken,Chicken-Compartments
chick_phage_1369,0.146768894,1.43E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5903,0.764512596,0.000592578,Compartments,Chicken,Chicken-Compartments
chick_phage_5275,0.398685652,3.11E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3972,0.39211391,6.92E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_380,0.08762322,3.23E-06,no,Chicken,Chicken-no
chick_phage_3694,0.524644031,3.85E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5048,0.527929901,8.71E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1687,0.209200438,7.28E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_2026,0.278203724,0.000128827,Compartments,Chicken,Chicken-Compartments
chick_phage_4232,0.863088719,0.002759187,Compartments,Chicken,Chicken-Compartments
chick_phage_94,0.763417306,0.0008902,Compartments,Chicken,Chicken-Compartments
chick_phage_878,0.069003286,4.69E-06,no,Chicken,Chicken-no
chick_phage_6296,0.524644031,2.94E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1434,0.248630887,0.000132842,Compartments,Chicken,Chicken-Compartments
chick_phage_4053,0.428258488,9.52E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2696,0.04381161,5.53E-06,no,Chicken,Chicken-no
chick_phage_3066,0.732749179,9.34E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_279,0.668127054,0.000361655,Compartments,Chicken,Chicken-Compartments
chick_phage_705,0.08652793,3.80E-06,no,Chicken,Chicken-no
chick_phage_1029,0.26177437,2.30E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2652,0.177437021,7.31E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_637,0.404162103,9.86E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5644,0.884994524,0.000681437,Compartments,Chicken,Chicken-Compartments
chick_phage_4583,0.055859803,6.54E-06,no,Chicken,Chicken-no
chick_phage_1058,0.108433735,1.97E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6033,0.886089814,0.001937173,Compartments,Chicken,Chicken-Compartments
chick_phage_2725,0.475355969,5.51E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_932,0.211391019,0.000384751,Compartments,Chicken,Chicken-Compartments
chick_phage_122,0.059145674,8.04E-06,no,Chicken,Chicken-no
chick_phage_1875,0.513691128,1.78E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3782,0.167579409,1.13E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_103,0.775465498,0.000366006,Compartments,Chicken,Chicken-Compartments
chick_phage_306,0.038335159,6.42E-05,no,Chicken,Chicken-no
chick_phage_1307,0.363636364,0.000124604,Compartments,Chicken,Chicken-Compartments
chick_phage_4562,0.893756846,0.000363171,Compartments,Chicken,Chicken-Compartments
chick_phage_1117,0.079956188,6.10E-06,no,Chicken,Chicken-no
chick_phage_258,0.049288061,9.46E-06,no,Chicken,Chicken-no
chick_phage_45,0.920043812,0.062048377,Core,Chicken,Chicken-Core
chick_phage_1476,0.201533406,1.03E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4857,0.497261774,4.27E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_378,0.87075575,0.002568515,Compartments,Chicken,Chicken-Compartments
chick_phage_243,0.820372399,0.000687923,Compartments,Chicken,Chicken-Compartments
chick_phage_5350,0.928806134,0.000336302,Compartments,Chicken,Chicken-Compartments
