Phage,Host,Source
28624.58266,16470.42779,Chicken
1022.912431,56.667744,Chicken
6307.94266,6403.006885,Chicken
153772.615,103586.6908,Chicken
229152.6892,256676.7226,Chicken
146520.5807,108635.1817,Chicken
70461.73567,24795.45807,Chicken
131332.429,39672.95925,Chicken
292713.3846,387899.4398,Chicken
325769.9382,348044.1266,Chicken
62394.81755,23570.13935,Chicken
49953.61772,14962.6155,Chicken
12425.24234,4330.55818,Chicken
170945.7967,192150.9732,Chicken
53836.78577,24905.84947,Chicken
69792.03164,34383.9415,Chicken
214302.867,149748.5939,Chicken
173354.4125,87582.94137,Chicken
294596.2592,108014.346,Chicken
250041.8542,183157.3355,Chicken
68232.5919,30683.1158,Chicken
72590.85448,84618.25809,Chicken
41037.89969,8413.74962,Chicken
147958.0232,92506.08595,Chicken
36623.25864,6091.669091,Chicken
276849.2317,154135.7467,Chicken
4922.966805,2134.138471,Chicken
4499.970969,2657.920088,Chicken
3403.091332,1122.141958,Chicken
2504.154423,1042.553204,Chicken
17481.15031,7789.279721,Chicken
54295.8335,45175.5295,Chicken
4053.284038,131.299339,Chicken
38366.65479,9333.953959,Chicken
2194.426616,306.856915,Chicken
1048.168177,176.010277,Chicken
16960.88819,8667.430618,Chicken
5534.432528,2328.489928,Chicken
4782.1651,749.890753,Chicken
387.266094,255.235605,Chicken
7322.79483,2731.476387,Chicken
21071.56061,13063.30521,Chicken
86731.7002,28735.20364,Chicken
80115.58033,52484.843,Chicken
125848.9126,83201.0325,Chicken
186721.1402,153732.5048,Chicken
59450.05137,18791.80084,Chicken
54245.49832,3637.687087,Chicken
38421.36401,6713.645623,Chicken
56728.71056,96237.22224,Chicken
5327.844857,1660.949945,Chicken
7139.416487,3268.767487,Chicken
4625.804688,1999.464078,Chicken
84215.05735,43907.01038,Chicken
53894.48662,8754.320531,Chicken
23891.60764,14258.58275,Chicken
3664.21056,1745.166386,Chicken
2307.325127,990.914211,Chicken
1117.113526,516.394345,Chicken
81170.68291,68374.45679,Chicken
43298.8152,15551.15453,Chicken
38561.798,59.47439,Chicken
44510.2173,2473.20179,Chicken
43259.6267,1469.933413,Chicken
36963.8903,10262.66237,Chicken
33206.6497,6878.04758,Chicken
36865.8295,14346.92037,Chicken
43530.9895,10896.961,Chicken
45001.6461,4095.68055,Chicken
44480.5292,9279.1229,Chicken
25305.81263,7192.76385,Chicken
27178.58794,5634.8201,Chicken
12436.3388,1649.867507,Chicken
11108.52657,3594.20964,Chicken
46425.38028,1670.791125,Chicken
40355.6878,15490.1165,Chicken
17993.09414,600.97079,Chicken
38372.04431,1418.74415,Chicken
1927.548031,1650.67309,Chicken
1210.314935,177.115088,Chicken
4147.267887,1494.936347,Chicken
3705.316851,1515.394427,Chicken
45816.58175,28286.46023,Chicken
973.850707,361.74666,Chicken
2761.632177,1527.144454,Chicken
1362.659225,534.84677,Chicken
2554.730688,537.474654,Chicken
1793.660008,618.400492,Chicken
296010.8443,486451.4367,Chicken
4877.093869,7327.821475,Chicken
17902.4822,22899.07163,Chicken
15809.57533,44453.72044,Chicken
78253.74698,60151.70677,Chicken
64332.83166,176548.7754,Chicken
38397.20582,4248.895413,Chicken
4957.662783,3070.482069,Chicken
366892.9995,548376.5066,Chicken
370486.0852,421465.4501,Chicken
2973.019504,1247.731743,Chicken
18149.7578,5118.106742,Chicken
15327.83666,6857.74761,Chicken
9093.925559,4380.315464,Chicken
11843.95029,5497.774528,Chicken
18974.47589,6869.543068,Chicken
2290.50164,1860.680669,Chicken
76031.34002,80124.49374,Chicken
663.426304,319.303501,Chicken
2187.378277,1435.338852,Chicken
4598.537538,12863.33569,Chicken
2984.637474,6039.827135,Chicken
161348.0546,205227.8919,Chicken
176743.3376,299900.7656,Chicken
